,x,y,c
61,11.29701,0.52477604,#92374D
62,12.100809,0.22450893,#92374D
63,12.019447,0.28555888,#92374D
64,11.985356,0.2974726,#92374D
65,12.144529,0.17440447,#92374D
66,12.372667,0.23215465,#92374D
67,12.413818,0.2526077,#92374D
68,11.548965,0.28999323,#92374D
69,11.546419,0.8422503,#92374D
70,11.532128,0.85431075,#92374D
71,11.332068,0.5051001,#92374D
72,12.3402605,0.27756488,#92374D
73,12.3386755,0.2947708,#92374D
74,12.374912,0.3035682,#92374D
75,12.25497,0.21753481,#92374D
76,12.315103,0.17623943,#92374D
77,12.1421995,0.27550003,#92374D
78,11.27098,0.5693137,#92374D
79,12.373981,0.23236531,#92374D
80,11.327638,0.51528424,#92374D
81,12.146534,0.23256044,#92374D
82,12.243789,0.27746278,#92374D
83,11.238863,0.4693686,#92374D
84,12.366581,-0.06576002,#92374D
85,12.40355,-0.07057268,#92374D
86,12.142402,0.017721176,#92374D
87,12.418106,-0.06316715,#92374D
88,12.442596,0.008764161,#92374D
89,11.510492,0.86488193,#92374D
90,11.497754,0.8805467,#92374D
91,5.128108,0.7514806,#92374D
92,11.989496,0.20039539,#92374D
93,12.037872,0.21821186,#92374D
94,12.453711,0.21442002,#92374D
95,12.390626,0.21575752,#92374D
96,11.799607,0.38880888,#92374D
97,11.354079,0.5273853,#92374D
98,11.274428,0.56946397,#92374D
99,11.846449,0.47029322,#92374D
100,11.865474,0.43246576,#92374D
101,2.1364594,-0.48504013,#CD7A8F
102,2.1339283,-0.48738655,#CD7A8F
103,2.1307669,-0.4975057,#CD7A8F
104,2.1300862,-0.48939243,#CD7A8F
105,2.1294832,-0.48548904,#CD7A8F
106,2.1239886,-0.49207544,#CD7A8F
107,3.6106062,-4.504488,#CD7A8F
108,3.603602,-4.5300064,#CD7A8F
109,3.603855,-4.515859,#CD7A8F
110,3.0927975,-3.352682,#CD7A8F
111,3.0971582,-3.3572428,#CD7A8F
112,3.0134733,-3.103984,#CD7A8F
113,3.0073366,-3.100964,#CD7A8F
114,3.6298993,-4.1451697,#CD7A8F
115,3.2446544,-4.234299,#CD7A8F
116,3.7741864,-3.8507867,#CD7A8F
117,3.8308034,-3.8000941,#CD7A8F
118,3.8432944,-3.8402398,#CD7A8F
119,3.5673308,-3.7894597,#CD7A8F
120,3.3565629,-4.335594,#CD7A8F
121,3.3082325,-4.5550346,#CD7A8F
122,3.2457745,-4.569822,#CD7A8F
123,3.6034472,-2.181871,#CD7A8F
124,3.5990553,-2.1061535,#CD7A8F
125,3.5992262,-2.1075835,#CD7A8F
126,3.601576,-2.0917373,#CD7A8F
127,3.6002455,-2.1028898,#CD7A8F
128,4.0156326,-3.840075,#CD7A8F
129,3.821,-3.9629312,#CD7A8F
130,3.814328,-4.008357,#CD7A8F
131,3.613491,-4.408723,#CD7A8F
132,2.7645175,-3.8347545,#CD7A8F
133,2.76426,-3.8461215,#CD7A8F
134,3.0605702,-3.3561943,#CD7A8F
135,3.0589278,-3.3885336,#CD7A8F
136,3.0529027,-3.3507042,#CD7A8F
137,3.0163426,-3.3374922,#CD7A8F
138,3.3298202,-3.907901,#CD7A8F
139,3.3392408,-3.9207501,#CD7A8F
140,2.8619008,-0.9155854,#CD7A8F
141,3.6444998,-3.9684246,#CD7A8F
142,3.3039901,-4.026918,#CD7A8F
143,3.2744572,-4.0043087,#CD7A8F
144,3.7720237,-4.101042,#CD7A8F
145,3.3929098,-4.4573975,#CD7A8F
146,3.3740919,-4.4934506,#CD7A8F
147,3.4116695,-4.4697375,#CD7A8F
148,3.4521694,-3.9474454,#CD7A8F
149,3.5826914,-3.3147604,#CD7A8F
150,4.0086026,-3.8575056,#CD7A8F
151,4.036462,-3.8323848,#CD7A8F
152,4.0654473,-3.857746,#CD7A8F
153,4.0326743,-3.8555052,#CD7A8F
154,2.982828,-4.13451,#CD7A8F
155,3.2487893,-3.5876453,#CD7A8F
156,3.224776,-3.5853534,#CD7A8F
157,3.2591045,-3.018907,#CD7A8F
158,3.2979043,-3.0200098,#CD7A8F
159,3.2747533,-3.0116882,#CD7A8F
160,3.9984915,-3.8462822,#CD7A8F
161,3.3374555,-3.7955756,#CD7A8F
162,3.3147163,-3.7612665,#CD7A8F
163,3.2135625,-4.669374,#CD7A8F
164,2.5043616,-2.9814336,#CD7A8F
165,2.4899795,-2.9767172,#CD7A8F
166,2.5034084,-2.9891534,#CD7A8F
167,3.3325589,-4.0772357,#CD7A8F
168,3.2147393,-4.12295,#CD7A8F
169,3.2965539,-3.9126985,#CD7A8F
170,4.4835253,-4.6550236,#CD7A8F
171,4.4916754,-4.655954,#CD7A8F
172,4.492676,-4.6566124,#CD7A8F
173,4.4946556,-4.6575937,#CD7A8F
174,4.489622,-4.661085,#CD7A8F
175,3.4994874,-3.8114488,#CD7A8F
176,2.4776127,-2.967203,#CD7A8F
177,2.4601104,-2.9710355,#CD7A8F
178,2.4753122,-2.9654582,#CD7A8F
179,2.4693942,-2.9663017,#CD7A8F
180,2.4679244,-2.9653533,#CD7A8F
181,3.0358548,0.1507509,#CD7A8F
